,news,Publish_Date,sentiment_score,sentiment_label,sentiment_score_updated,sentiment_label_updated
0,kpmg rates infosys best company,2002-08-13,1.0,positive,1.0,positive
1,infosys emerge champions,2003-05-26,0.0,neutral,1.0,positive
2,infosys consolidates east africa,2003-08-21,0.0,neutral,0.0,neutral
3,infosys pump 250 cr park,2004-06-25,0.0,neutral,0.0,neutral
4,infosys still unsure bengal,2008-09-11,0.0,neutral,0.0,neutral
5,infosys fires 2100,2009-04-11,0.0,neutral,-1.0,negative
6,infosys rejects 94 job applicants also gets rejected many,2010-05-30,0.5,positive,0.0,neutral
7,infosys looking acquisitions japan ceo,2010-11-10,0.0,neutral,0.0,neutral
8,infosys splits roles handled pai dinesh,2011-05-10,0.0,neutral,0.0,neutral
9,infosys managed business well nr narayana murthy,2012-01-02,0.0,neutral,0.0,neutral
10,infosys want government contracts,2013-01-07,0.0,neutral,0.0,neutral
11,hcl infosystems unveils connect 2g 20 phablet,2013-06-04,0.0,neutral,0.0,neutral
12,infosys q2 net profit 286 3096 crore stocks gain 56,2014-10-10,0.0,neutral,0.0,neutral
13,infosys hires silicon valley strengthen ai platform mana,2016-06-13,0.0,neutral,1.0,positive
14,infosys may hit roadblock,2004-10-07,0.0,neutral,-1.0,negative
15,infosys confident acquiring axon,2008-09-10,0.5,positive,1.0,positive
16,tcs infosys set gain rbs technology splurge,2009-10-07,0.0,neutral,0.0,neutral
17,dept slaps 450 cr demand infosys,2011-02-25,0.0,neutral,0.0,neutral
18,sez status infosys says west bengal government,2012-02-21,0.0,neutral,0.0,neutral
19,cos like infosys hcl tech cognizant wipro pamper placement officers best talent,2012-03-27,1.0,positive,1.0,positive
20,infosys wants grow like cognizant,2012-05-29,0.20000000298023224,positive,0.0,neutral
21,infosys quits europe buy last minute stock worst performer among companies,2012-07-18,-0.5,negative,1.0,positive
22,companies tcs infosys hit denial us visas,2012-08-27,0.0,neutral,-1.0,negative
23,hard work strategy paid says infosys ceo,2013-01-12,-0.2916666567325592,negative,0.0,neutral
24,nr narayana murthys return means infosys employees,2013-06-04,0.0,neutral,0.0,neutral
25,infosys cfo ranganath mavinakere 7 things know,2015-10-12,0.0,neutral,0.0,neutral
26,another top infosys executive quits says free man,2017-09-18,0.44999998807907104,positive,1.0,positive
27,antibpo cry waning us infosys,2004-06-13,0.0,neutral,0.0,neutral
28,infosys fire noc mystery deepens,2006-12-02,0.0,neutral,0.0,neutral
29,infosys opens center brazil,2009-12-15,-0.10000000149011612,negative,1.0,positive
30,cognizant goes past infosys becomes secondlargest company,2012-08-06,-0.25,negative,0.0,neutral
31,infosys quarterly profit 3 per cent beats estimates marginally,2013-04-12,0.0,neutral,0.0,neutral
32,infosys restructure sales force,2014-01-13,0.0,neutral,0.0,neutral
33,infosys hive products business sanjay purohit ceo,2014-02-26,0.0,neutral,0.0,neutral
34,infosys seniorlevel exits far lower others vishal sikka,2016-03-04,0.10000000149011612,positive,0.0,neutral
35,infosys sings badi mushkil hai,2003-06-15,0.0,neutral,0.0,neutral
36,jk bank tieup infosys,2003-08-17,0.0,neutral,0.0,neutral
37,infosys seeing revival signs,2009-08-13,0.0,neutral,0.0,neutral
38,infosys victory may deter copycat lawsuits cos,2012-08-21,0.0,neutral,0.0,neutral
39,infosys shows interest education sector egovernance project,2013-09-27,0.0,neutral,0.0,neutral
40,sacked techie takes infosys court,2015-04-27,0.0,neutral,0.0,neutral
41,zhus lessons begin infosys,2002-01-18,0.0,neutral,0.0,neutral
42,infosys us chief quits sexual harrassment charge,2002-07-23,0.5,positive,0.0,neutral
43,state needs infosyslike brand promote,2002-07-31,0.0,neutral,0.0,neutral
44,infosys fines ceo violating company rules,2008-01-23,0.0,neutral,0.0,neutral
45,infosys tcs obama threat,2008-09-04,0.0,neutral,-1.0,negative
46,infosys boost enough sensex 38 pts,2009-01-13,0.0,neutral,0.0,neutral
47,infosys sees budget cuts europe,2009-02-18,0.0,neutral,0.0,neutral
48,infosys hire 20k higher pay,2009-03-10,0.25,positive,1.0,positive
49,infosys plans buying clients technology units,2009-06-11,0.0,neutral,0.0,neutral
50,infosys bpo gets ceo,2010-01-06,0.0,neutral,0.0,neutral
51,going see different infosys,2011-08-22,0.0,neutral,0.0,neutral
52,sensex opens higher 162 points infosys results,2011-10-12,0.25,positive,1.0,positive
53,infosys wins 100million contract microsoft,2014-06-03,0.30000001192092896,positive,1.0,positive
54,dell hires former infosys vp prasad thrikutam,2014-06-06,0.0,neutral,0.0,neutral
55,infosys finacle head haragopal denies rumours quitting,2014-06-09,0.0,neutral,0.0,neutral
56,infosys beats forecasts despite fall q1 profit,2014-07-12,0.0,neutral,0.0,neutral
57,infosys tcs invest barack obamas computer science plan,2016-02-01,0.0,neutral,1.0,positive
58,disappointed infosys ceo vishal sikka rejigs top management,2016-07-19,-0.125,negative,1.0,positive
59,infosys provides muted revenue guidance fy18,2017-04-14,0.0,neutral,0.0,neutral
60,infosys underestimated cultural challenge transforming cochair ravi venkatesan,2017-06-16,0.10000000149011612,positive,0.0,neutral
61,realtors hit infosys shifts base,2007-05-04,-0.800000011920929,negative,-1.0,negative
